start_time,end_time,content,source
0.076,3.078,中国传统功夫的春天又来了,https://www.bilibili.com/video/BV1WT411e7ZJ/
6.054,8.087,呃我注意你很久了啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
8.087,10.001,苏宁好朋友啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
10.001,11.039,我注意你很久了,https://www.bilibili.com/video/BV1WT411e7ZJ/
11.039,14.082,我发给你净说这个锅头话啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
14.084,18.022,开始赞成时机是干什么的,https://www.bilibili.com/video/BV1WT411e7ZJ/
18.022,19.087,时机是反对的啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
19.087,22.046,哎我给你讲个故事啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
22.072,25.006,有个人说坏话说什么呢,https://www.bilibili.com/video/BV1WT411e7ZJ/
25.006,29.056,说是呃这家这个这个这个这个这个老人,https://www.bilibili.com/video/BV1WT411e7ZJ/
29.056,32.006,他公公不干净啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
33.026,38.012,和他儿子媳妇有这个有有有不干净的过去,https://www.bilibili.com/video/BV1WT411e7ZJ/
38.003,40.019,他在旁边怎么说呢,https://www.bilibili.com/video/BV1WT411e7ZJ/
40.019,42.002,他说他家丑不可外扬,https://www.bilibili.com/video/BV1WT411e7ZJ/
42.002,43.049,你怎么说人家呀,https://www.bilibili.com/video/BV1WT411e7ZJ/
43.049,45.044,他明上是护着一家,https://www.bilibili.com/video/BV1WT411e7ZJ/
45.044,47.199,实际上他更坏,https://www.bilibili.com/video/BV1WT411e7ZJ/
47.052,48.009,知道吧,https://www.bilibili.com/video/BV1WT411e7ZJ/
48.009,51.004,你这手段好看多了啊,https://www.bilibili.com/video/BV1WT411e7ZJ/
