time,content,comments
2,呃朋友们好啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
3,我是混元形意太极门掌门人马保国,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
6,刚才有个朋友问我,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
8,马老师发生什么事了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
9,我说怎么回事,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
10,给我发了几张截图,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
12,我一看哦,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
13,原来是昨天有两个年轻人,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
17,30多岁,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
18,一个体重90多公斤,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
20,一个体重80多公斤,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
22,他们说哎有一个说是我在健身房练功,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
27,颈椎练坏了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
28,马老师,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
28,你能不能教教我混元功法诶,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
32,帮助治疗一下我的颈椎病,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
34,我说可以,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
35,我说你在健身房练死劲儿不好用,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
38,他不服气诶,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
40,我说小朋友,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
41,你两个手来折我一个手指头,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
43,他折不动,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
44,他说你这也没用,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
46,我说我这个有用,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
47,这是化劲儿,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
48,传统功夫是讲化劲的,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
50,四两拨千斤,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
54,我这一个手指啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
55,他说要和我试试,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
57,我说可以诶,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
58,我一说他啪就站起来了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
60,很快啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
61,然后上来就是一个左正蹬,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
65,一个右鞭腿,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
66,一个左刺拳,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
67,我全部防出去,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
68,防出去了啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
69,防出去以后自然是传统功夫,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
71,以点到为止,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
72,右拳放在了鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
74,没打他,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
74,我笑一下,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
75,准备收拳,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
76,因为这时间按传统功夫的点到为止,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
79,他已经输了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
80,如果这一拳发力一拳就把他鼻子打骨折了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
84,放在鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
85,没有打他,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
85,他也承认,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
86,我先打到他面部,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
88,他不知道拳放在他鼻子上,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
90,他承认我先打到他面部啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
93,我收拳的时间不打了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
95,他突然袭击左刺拳来打我脸啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
98,我大意了啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
99,没有闪,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
100,哎,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
101,他的左拳给我眼啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
103,右眼蹭了一下,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
104,但没关系啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
105,他也说啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
106,他截图也说了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
107,两分多钟以后,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
109,当时流眼泪了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
110,捂着眼,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
110,我说婷婷,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
111,然后两分钟钟以后,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
113,两分多钟以后诶就好了,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
115,我说小伙子,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
116,你不讲武德,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
117,你不懂马老师,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
118,对不起对不起,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
118,我不懂规矩啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
120,我是他说他是乱打的,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
121,他可不是乱打的啊,https://www.bilibili.com/video/BV1584y1N7cR/?spm_id_from=333.337.search-card.all.click
